"编号","分组","器件","型号/规格","封装","单板用量","整机用量","状态","说明","供应商/品牌","单价(元)","货期(周)","MOQ/替代料","小计(元)"
"A01","A. 主控板 ×1","FPSoC 主控","DR1V90GEG484（安路）","GEG484 · 484 球 · 0.8 mm","1","1","已定","RISC-V + PL；跑 2 个渲染 IP 与上行串化","","","","","=IF(K2="""","""",K2*G2)"
"A02","A. 主控板 ×1","DDR3L 颗粒","16 bit × 2（共 32 bit / 1 GB）；参考 GDP2BFLM-WB","BGA96","2","2","待选型","必须贴满 32 bit，FS03 只贴了一半","","","","","=IF(K3="""","""",K3*G3)"
"A03","A. 主控板 ×1","QSPI Flash","GD25LB256EYIG","WSON8","1","1","已定","启动镜像","","","","","=IF(K4="""","""",K4*G4)"
"A04","A. 主控板 ×1","DCDC 0.95 V","TPS54821RHLR 或等效 ≥6 A","VQFN14","1","1","待选型","VCCINT，FS03 按 8 A 设计","","","","","=IF(K5="""","""",K5*G5)"
"A05","A. 主控板 ×1","DCDC 1.8 / 3.3 V","ES5030 或等效","POD24","3","3","待选型","VCCAUX / VCCIO / 外设","","","","","=IF(K6="""","""",K6*G6)"
"A06","A. 主控板 ×1","DCDC 2.5 V","待选型（新增轨）","—","1","1","待选型","驱屏/上行 LVDS 的共模全靠它，FS03 没有这一路","","","","","=IF(K7="""","""",K7*G7)"
"A07","A. 主控板 ×1","DDR 电源 1.35 V + VTT","SGM2054XTD10G 或等效","VQFN10","1","1","待选型","VTT 必须晚于 VDDQ 起","","","","","=IF(K8="""","""",K8*G8)"
"A08","A. 主控板 ×1","USB 2.0 PHY","USB3320（ULPI）","QFN32","1","1","待选型","接 WiFi dongle","","","","","=IF(K9="""","""",K9*G9)"
"A09","A. 主控板 ×1","USB 限流 + ESD","CH217K + TPD2EUSB30DRTR","SOT23-6 / SOT-3","2","2","待选型","","","","","","=IF(K10="""","""",K10*G10)"
"A10","A. 主控板 ×1","调试串口桥","CH342K","ESSOP-10","1","1","待选型","双串口，板级调试用","","","","","=IF(K11="""","""",K11*G11)"
"A11","A. 主控板 ×1","有源晶振 33.3333 MHz","1.8 V 四脚，如 OT322533.3333MJBA4SL","3225","1","1","待选型","PS_CLK","","","","","=IF(K12="""","""",K12*G12)"
"A12","A. 主控板 ×1","有源晶振 25 MHz","3.3 V 四脚","3225","1","1","待选型","PL / PHY","","","","","=IF(K13="""","""",K13*G13)"
"A13","A. 主控板 ×1","无源晶振 24 MHz","如 M24000E027","3225","1","1","待选型","","","","","","=IF(K14="""","""",K14*G14)"
"A14","A. 主控板 ×1","以太网 PHY + 变压器","YT8531 + HY911130A","QFN-40B","1","1","待选型","⚠ 转子上是否保留待定，可裁剪","","","","","=IF(K15="""","""",K15*G15)"
"A15","A. 主控板 ×1","RTC + 电池 + EEPROM","PT7C4337 + CR1220 + 24LC02B","SOIC-8","1","1","待选型","可裁剪","","","","","=IF(K16="""","""",K16*G16)"
"A16","A. 主控板 ×1","eMMC 或 SD 卡座","待定（转子上建议 eMMC，不用卡）","—","1","1","待选型","卡座在 136 g 下不可靠","","","","","=IF(K17="""","""",K17*G17)"
"A17","A. 主控板 ×1","上行连接器","≥40 pin 高速差分，耐 136 g","待选型","2","2","空白","400 MHz 转发钟走这里，抖动与机械固定都压在它身上","","","","","=IF(K18="""","""",K18*G18)"
"A18","A. 主控板 ×1","无源件（成套）","参考 FS03：电容 ~190、电阻 ~140、电感/磁珠 ~12","0201/0402","1","1","待选型","自研板出原理图后重估，先按套询","","","","","=IF(K19="""","""",K19*G19)"
"B01","B. 屏板 ×2","桥片 FPGA","EG4A20BG256I7（安路）","BGA256 · 1.0 mm · 17×17","1","2","已定","87 対 + 18 单端 / 天花板 195，余 3","","","","","=IF(K20="""","""",K20*G20)"
"B02","B. 屏板 ×2","LED 驱动","ICND2260（映己鸿鹄）","BGA225 · 0.5 mm","24","48","已定","4×6 排布，每颗 40 通道 × 48 扫，只用 36 通道","","","","","=IF(K21="""","""",K21*G21)"
"B03","B. 屏板 ×2","LED 灯珠 / COB","RGB，像素间距 0.78125 mm（P0.78 级 COB）","待选型","41472","82944","待选型","金额大头；请一并问 MOQ 与打样条件","","","","","=IF(K22="""","""",K22*G22)"
"B04","B. 屏板 ×2","3R 网络电阻 RS","150 Ω ±1%","0402 / 0201","102","204","已定","仿真 LVDS 每腿一只","","","","","=IF(K23="""","""",K23*G23)"
"B05","B. 屏板 ×2","3R 网络电阻 RP","140 Ω ±1%","0402 / 0201","51","102","已定","跨接；本板只需 3R，不要照抄 E104 的 5R","","","","","=IF(K24="""","""",K24*G24)"
"B06","B. 屏板 ×2","差分端接电阻","100 Ω ±1%","0402","72","144","已定","焊在灯板侧、尽量靠近 2260","","","","","=IF(K25="""","""",K25*G25)"
"B07","B. 屏板 ×2","模拟开关 8:1","74HC4051 / SN74LV4051 类","TSSOP-16","3","6","待选型","把 24 链 ack 收敛成 3 根","","","","","=IF(K26="""","""",K26*G26)"
"B08","B. 屏板 ×2","屏电源 VDDR 2.8 V","大电流多相 DCDC，待选型","—","1","2","空白","屏阵列整机规格上限 43 A，主要电流在这一路","","","","","=IF(K27="""","""",K27*G27)"
"B09","B. 屏板 ×2","屏电源 VDDGB 3.8 V","待选型","—","1","2","空白","低于 3.5 V 绿蓝不亮","","","","","=IF(K28="""","""",K28*G28)"
"B10","B. 屏板 ×2","桥片电源 4 路","1.0 / 1.8 / 2.5 / 3.3 V","—","4","8","待选型","2.5 V 决定仿真対共模 1.25 V","","","","","=IF(K29="""","""",K29*G29)"
"B11","B. 屏板 ×2","有源晶振 25 MHz","3.3 V","3225","1","2","已定","桥片参考时钟","","","","","=IF(K30="""","""",K30*G30)"
"B12","B. 屏板 ×2","配置 SPI Flash（DNP）","如 W25Q64，留焊盘不贴","SOP-8","1","2","已定","正常由主控推 bit；这是零成本对冲","","","","","=IF(K31="""","""",K31*G31)"
"B13","B. 屏板 ×2","板对板连接器","与 A17 配对","待选型","1","2","空白","","","","","","=IF(K32="""","""",K32*G32)"
"B14","B. 屏板 ×2","去耦与无源件（成套）","每颗 2260 与 FPGA 的去耦网络","0201/0402","1","2","待选型","数量待原理图，先按套询","","","","","=IF(K33="""","""",K33*G33)"
"C01","C. 跨界与互连","无线供电（现役在用）","发射 + 接收模块 + 耦合线圈对；输入 24~32 V，输出 24 V 2 A = 48 W","线圈 Φ80~145 环形","1","1","已定","已在接近整机的负载上跑过；按内容口径够用，不加大功率","","","","","=IF(K34="""","""",K34*G34)"
"C05","C. 跨界与互连","转子侧储能电容组","低 ESR 电解 + 陶瓷，容量待算","—","1","2","空白","48 W 是平均口径；峰值靠电容扛。踩过 VDDR 塌到 1.9 V 与瞬时电流拉重启","","","","","=IF(K35="""","""",K35*G35)"
"C02","C. 跨界与互连","上行差分线缆 / FFC","100 Ω 差分，28 対 + 配置线","待选型","1","2","空白","400 MHz，等长与偏斜画板时定死","","","","","=IF(K36="""","""",K36*G36)"
"C03","C. 跨界与互连","USB WiFi dongle","待选型（需支持 Linux 驱动）","—","1","1","待选型","136 g 下需灌胶或改焊接式模块","","","","","=IF(K37="""","""",K37*G37)"
"C04","C. 跨界与互连","光电索引传感器 + 遮光片","对射或反射式，待选型","—","1","1","待选型","每圈一个基准脉冲","","","","","=IF(K38="""","""",K38*G38)"
"D01","D. 转子与机械","电机 + 驱动器","900 RPM 连续","—","1","1","待选型","现状限速 850 RPM，动平衡是瓶颈","","","","","=IF(K39="""","""",K39*G39)"
"D02","D. 转子与机械","转子结构件 + 配重","macha v4：法兰盘 / hub_disc / rim_ring 等","3D 打印","1","1","待选型","线圈座已在法兰盘上（Φ80~145 环形槽，8+8 M3）；主控板上转子后质量与不平衡量都增加","","","","","=IF(K40="""","""",K40*G40)"
"D03","D. 转子与机械","防护罩 / 散热件","待设计","—","1","1","待选型","","","","","","=IF(K41="""","""",K41*G41)"
"D04","D. 转子与机械","定子侧直流电源","24~32 V，供无线供电发射端；容量按发射效率折算","—","1","1","待选型","整机功耗预算仍未做（按内容口径而非满白）","","","","","=IF(K42="""","""",K42*G42)"
"E01","E. PCB 与加工","主控板 PCB","参考 FS03 为 10 层；0.8 mm BGA484","—","1","1","待选型","阻抗控制，含阻焊/钢网","","","","","=IF(K43="""","""",K43*G43)"
"E02","E. PCB 与加工","屏板 PCB","层数待定；0.5 mm BGA225 定工艺等级；100 Ω 差分","—","1","2","待选型","面积大、器件密，按 HDI 能力询","","","","","=IF(K44="""","""",K44*G44)"
"E03","E. PCB 与加工","打样 + SMT（NRE）","首批小批量","—","1","1","待选型","含钢网、编程、首件","","","","","=IF(K45="""","""",K45*G45)"
"E04","E. PCB 与加工","测试治具","待定","—","1","1","待选型","","","","","","=IF(K46="""","""",K46*G46)"
"","","","","","","","","","","","","合计","=SUM(N2:N46)"
