idx,chain,chip,bit,blob_n,cx_pct,cy_pct,area
8,0,0,8,0,96.8,0.23,68
9,0,0,9,0,95.8,0.18,84
10,0,0,10,0,95.74,0.2,88
11,0,0,11,0,96.05,0.17,76
12,0,0,12,0,96.06,0.19,80
13,0,0,13,0,95.81,0.27,96
14,0,0,14,0,96.84,0.2,64
21,0,1,5,0,88.56,10.49,2420
22,0,1,6,0,88.43,10.48,2416
23,0,1,7,0,87.71,10.78,1460
23,0,1,7,1,84.69,10.9,16
24,0,1,8,0,87.71,10.93,1436
24,0,1,8,1,93.44,10.68,24
24,0,1,8,2,90.1,18.7,24
25,0,1,9,0,89.03,11.04,1616
26,0,1,10,0,88.91,10.8,2328
27,0,1,11,0,89.01,11.31,2676
27,0,1,11,1,86.96,19.6,28
28,0,1,12,0,96.46,22.37,188
28,0,1,12,1,90.51,19.11,148
28,0,1,12,2,85.73,20.37,72
28,0,1,12,3,97.5,16.67,20
28,0,1,12,4,94.88,17.82,20
28,0,1,12,5,87.81,15.71,16
28,0,1,12,6,81.72,17.15,16
29,0,1,13,0,94.21,18.32,288
29,0,1,13,1,95.68,22.5,168
29,0,1,13,2,82.1,16.3,56
30,0,1,14,0,96.05,27.98,128
30,0,1,14,1,88.12,25.48,16
31,0,1,15,0,94.44,27.89,388
31,0,1,15,1,86.25,27.44,40
32,0,2,0,0,95.11,28.23,232
32,0,2,0,1,97.81,32.88,40
33,0,2,1,0,89.41,28.42,2704
34,0,2,2,0,89.92,28.16,2264
34,0,2,2,1,82.66,27.0,32
34,0,2,2,2,85.25,25.13,20
35,0,2,3,0,89.33,28.38,2604
36,0,2,4,0,89.41,28.5,2624
37,0,2,5,0,89.21,28.54,2564
38,0,2,6,0,89.34,28.52,2572
39,0,2,7,0,89.23,28.64,2500
40,0,2,8,0,89.44,28.65,2304
45,0,2,13,0,89.74,49.41,2608
46,0,2,14,0,89.78,49.5,2512
47,0,2,15,0,89.65,49.5,2516
48,0,3,0,0,89.61,49.4,2524
49,0,3,1,0,89.73,49.47,2532
50,0,3,2,0,89.79,49.46,2528
51,0,3,3,0,89.71,49.44,2472
52,0,3,4,0,89.68,49.47,2596
60,0,3,12,0,90.26,72.25,2436
61,0,3,13,0,90.21,72.25,2452
62,0,3,14,0,90.35,72.14,2404
63,0,3,15,0,90.25,72.08,2444
64,0,4,0,0,90.13,72.26,2484
65,0,4,1,0,90.34,72.2,2332
73,0,4,9,0,90.72,84.39,2128
74,0,4,10,0,90.66,84.35,2276
75,0,4,11,0,90.67,84.37,2260
76,0,4,12,0,90.7,94.85,1748
77,0,4,13,0,90.7,94.85,1748
203,1,0,11,0,89.58,10.27,940
203,1,0,11,1,78.23,4.7,24
203,1,0,11,2,82.5,13.46,20
204,1,0,12,0,86.88,8.33,44
204,1,0,12,1,93.66,14.19,28
204,1,0,12,2,77.5,4.81,16
204,1,0,12,3,80.94,5.13,16
204,1,0,12,4,96.09,13.3,16
205,1,0,13,0,82.68,9.62,28
